post_id,post,post_type,language,intent,sentiment_label,sentiment_confidence,category,topic,severity_level,risk_score,compliance_flag,product,summary,recommended_action,escalation_required,created_at
P032,Fake SMS claiming my account will be blocked,Fraud,English,Fraud report,Negative,0.95,Fraud,Fake SMS,Critical,93,TRUE,SMS Alerts,Scam SMS detected,Escalate fraud team,TRUE,12-04-2026 10:33
P033,Branch staff was polite and helpful,Feedback,English,Praise,Positive,0.87,Customer Service,Staff behavior,Low,9,FALSE,Branch Service,Good branch experience,Monitor only,FALSE,10-04-2026 10:48
P034,Transaction failed during festival peak hours,Complaint,English,Complaint,Negative,0.92,Payments,Peak failure,High,82,FALSE,UPI,Peak load failure,Escalate operations,TRUE,12-04-2026 11:04
P035,Loan approval process improved recently,Feedback,English,Praise,Positive,0.85,Loans,Process improvement,Low,15,FALSE,Loan,Positive improvement feedback,Monitor only,FALSE,10-04-2026 11:13
P036,"Received call asking for CVV number, seems suspicious",Fraud,English,Fraud report,Negative,0.96,Fraud,CVV scam call,Critical,96,TRUE,Credit Card,Sensitive data scam,Escalate fraud team,TRUE,10-04-2026 11:26
P037,Net banking works fine but mobile app is better,Feedback,English,Comparison,Neutral,0.75,Digital Banking,Channel comparison,Medium,35,FALSE,Net Banking,Channel comparison feedback,Monitor,FALSE,10-04-2026 12:09
P038,Money deducted twice for same transaction,Complaint,English,Complaint,Negative,0.93,Payments,Double debit,High,87,FALSE,UPI,Duplicate debit issue,Escalate operations,TRUE,10-04-2026 12:21
P039,Great festive offers and discounts this month,Promotion,English,Marketing engagement,Positive,0.88,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,10-04-2026 12:38
P040,Account frozen without proper explanation,Complaint,English,Complaint,Negative,0.94,Customer Service,Account freeze,Critical,91,TRUE,Bank Account,Account restriction issue,Escalate compliance team,TRUE,10-04-2026 13:03
P041,UPI payment stuck but money deducted from account,Complaint,English,Complaint,Negative,0.93,Payments,UPI stuck transaction,High,86,FALSE,UPI,Stuck transaction issue,Escalate operations,TRUE,10-04-2026 13:17
P042,Got fake call claiming bank KYC update needed urgently,Fraud,English,Fraud report,Negative,0.96,Fraud,KYC scam call,Critical,97,TRUE,KYC,KYC scam detected,Escalate fraud team,TRUE,10-04-2026 13:42
P043,App performance has improved a lot recently,Feedback,English,Praise,Positive,0.88,Digital Banking,App improvement,Low,9,FALSE,Mobile App,Positive performance feedback,Monitor only,FALSE,10-04-2026 14:11
P044,Credit card transaction not showing in statement,Complaint,English,Complaint,Negative,0.89,Loans,Missing transaction,Medium,57,FALSE,Credit Card,Statement mismatch,Respond customer,FALSE,12-04-2026 14:25
P045,UPI service was down during peak hours,Complaint,English,Complaint,Negative,0.94,Payments,UPI downtime,High,90,FALSE,UPI,Service outage issue,Escalate operations,TRUE,10-04-2026 15:08
P046,Customer care resolved my issue quickly and politely,Feedback,English,Praise,Positive,0.87,Customer Service,Fast resolution,Low,8,FALSE,,Positive support experience,Monitor only,FALSE,10-04-2026 15:34
P047,Someone tried to reset my password without permission,Fraud,English,Fraud report,Negative,0.97,Fraud,Password reset attempt,Critical,98,TRUE,Net Banking,Account security threat,Escalate fraud team,TRUE,12-04-2026 16:02
P048,Loan processing is okay but slower than expected,Feedback,English,Feedback,Neutral,0.76,Loans,Loan speed,Medium,44,FALSE,Loan,Mixed loan feedback,Monitor,FALSE,10-04-2026 16:19
P049,ATM did not dispense cash but amount got deducted,Complaint,English,Complaint,Negative,0.93,Payments,ATM failure,High,85,FALSE,ATM,ATM cash issue,Escalate operations,TRUE,10-04-2026 17:07
P050,Mobile app keeps freezing during login,Complaint,English,Complaint,Negative,0.91,Digital Banking,App freeze,High,80,FALSE,Mobile App,Login freeze issue,Escalate ops,TRUE,11-04-2026 09:07
P051,"Received cashback instantly, very smooth experience",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback experience,Low,6,FALSE,Credit Card,Positive reward experience,Monitor only,FALSE,11-04-2026 09:21
P052,Fake SMS asking to click link and verify PAN details,Fraud,English,Fraud report,Negative,0.95,Fraud,PAN scam SMS,Critical,94,TRUE,SMS Alerts,Phishing SMS detected,Escalate fraud team,TRUE,11-04-2026 09:44
P053,Branch staff was very helpful and polite,Feedback,English,Praise,Positive,0.86,Customer Service,Branch service,Low,7,FALSE,Branch Service,Good branch experience,Monitor only,FALSE,12-04-2026 19:36
P054,Transaction failed but balance was deducted,Complaint,English,Complaint,Negative,0.94,Payments,Failed debit issue,High,88,FALSE,UPI,Transaction mismatch,Escalate operations,TRUE,12-04-2026 20:36
P055,Loan interest rates are acceptable but processing is slow,Feedback,English,Feedback,Neutral,0.77,Loans,Loan processing,Medium,46,FALSE,Loan,Processing delay feedback,Monitor,FALSE,11-04-2026 10:18
P056,Got suspicious email asking for account verification,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,95,TRUE,Internet Banking,Phishing email alert,Escalate fraud team,TRUE,11-04-2026 19:36
P057,Net banking UI is not very intuitive compared to others,Feedback,English,Comparison,Neutral,0.74,Digital Banking,UI comparison,Medium,40,FALSE,Net Banking,UI feedback vs competitor,Monitor,FALSE,12-04-2026 10:36
P058,Money transferred but receiver says not received,Complaint,English,Complaint,Negative,0.92,Payments,Transfer delay,High,83,FALSE,UPI,Transfer mismatch issue,Escalate operations,TRUE,11-04-2026 11:09
P059,Festival offers are really good this year,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,11-04-2026 11:22
P060,Account suddenly blocked without any notification,Complaint,English,Complaint,Negative,0.95,Customer Service,Account blockage,Critical,92,TRUE,Bank Account,Unexpected account freeze,Escalate compliance team,TRUE,11-04-2026 19:22
P061,UPI payment failed but amount debited instantly,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit failure,High,85,FALSE,UPI,Debit without success,Escalate operations,TRUE,11-04-2026 12:14
P062,Received fake OTP request on SMS for verification,Fraud,English,Fraud report,Negative,0.97,Fraud,OTP scam SMS,Critical,96,TRUE,SMS Alerts,OTP phishing attempt,Escalate fraud team,TRUE,11-04-2026 12:41
P063,Mobile app is running much smoother after update,Feedback,English,Praise,Positive,0.88,Digital Banking,App update improvement,Low,8,FALSE,Mobile App,Positive update feedback,Monitor only,FALSE,11-04-2026 20:41
P064,Credit card payment not reflecting even after 3 days,Complaint,English,Complaint,Negative,0.9,Loans,Payment delay,Medium,60,FALSE,Credit Card,Delayed payment issue,Respond customer,FALSE,11-04-2026 13:03
P065,UPI services completely down in my area,Complaint,English,Complaint,Negative,0.95,Payments,UPI outage,High,90,FALSE,UPI,Service outage report,Escalate operations,TRUE,11-04-2026 13:27
P066,Customer care solved my issue within minutes,Feedback,English,Praise,Positive,0.87,Customer Service,Quick resolution,Low,7,FALSE,,Positive support feedback,Monitor only,FALSE,12-04-2026 13:27
P067,Someone tried to change my password without my permission,Fraud,English,Fraud report,Negative,0.97,Fraud,Unauthorized password reset,Critical,98,TRUE,Net Banking,Account compromise attempt,Escalate fraud team,TRUE,12-04-2026 09:06
P068,Loan approval process is okay but needs improvement,Feedback,English,Feedback,Neutral,0.75,Loans,Loan processing feedback,Medium,42,FALSE,Loan,Neutral loan feedback,Monitor,FALSE,12-04-2026 09:19
P069,ATM did not give cash but balance deducted,Complaint,English,Complaint,Negative,0.94,Payments,ATM cash failure,High,86,FALSE,ATM,ATM debit issue,Escalate operations,TRUE,12-04-2026 09:35
P070,App keeps crashing while doing UPI payment,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash UPI,High,83,FALSE,Mobile App,App instability issue,Escalate ops,TRUE,10-04-2026 19:35
P071,Great cashback rewards received instantly,Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback rewards,Low,6,FALSE,Credit Card,Positive offer feedback,Monitor only,FALSE,12-04-2026 10:11
P072,Fake call asking for CVV number immediately,Fraud,English,Fraud report,Negative,0.96,Fraud,CVV scam call,Critical,95,TRUE,Credit Card,Sensitive data scam,Escalate fraud team,TRUE,12-04-2026 10:28
P073,Branch staff was very cooperative and helpful,Feedback,English,Praise,Positive,0.86,Customer Service,Branch support,Low,7,FALSE,Branch Service,Good branch experience,Monitor only,FALSE,12-04-2026 13:05
P074,Transaction failed during payment but money deducted,Complaint,English,Complaint,Negative,0.93,Payments,Failed transaction debit,High,88,FALSE,UPI,Payment mismatch issue,Escalate operations,TRUE,10-04-2026 18:35
P075,Loan interest rates are okay but processing takes time,Feedback,English,Feedback,Neutral,0.76,Loans,Loan delay feedback,Medium,45,FALSE,Loan,Processing delay comment,Monitor,FALSE,12-04-2026 11:08
P076,Received suspicious email asking for account verification,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,94,TRUE,Internet Banking,Phishing email attempt,Escalate fraud team,TRUE,12-04-2026 11:23
P077,Net banking interface is confusing compared to competitors,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI comparison,Medium,41,FALSE,Net Banking,UX comparison feedback,Monitor,FALSE,10-04-2026 11:23
P078,UPI transfer failed but amount was deducted,Complaint,English,Complaint,Negative,0.94,Payments,UPI failure debit,High,87,FALSE,UPI,Transfer failure issue,Escalate operations,TRUE,12-04-2026 12:16
P079,Festival offers are really attractive this season,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign feedback,Monitor only,FALSE,12-04-2026 12:39
P080,Account blocked suddenly without any explanation,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,92,TRUE,Bank Account,Unexpected account restriction,Escalate compliance team,TRUE,12-04-2026 13:05
P081,UPI payment failed but balance was deducted,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit issue,High,86,FALSE,UPI,Debit without success,Escalate operations,TRUE,12-04-2026 13:05
P082,Received SMS asking for OTP to update KYC,Fraud,English,Fraud report,Negative,0.97,Fraud,KYC OTP scam,Critical,96,TRUE,KYC,Phishing SMS detected,Escalate fraud team,TRUE,12-04-2026 13:31
P083,Mobile app feels faster after latest update,Feedback,English,Praise,Positive,0.88,Digital Banking,App performance,Low,8,FALSE,Mobile App,Positive update feedback,Monitor only,FALSE,12-04-2026 13:52
P084,Credit card payment not showing in account,Complaint,English,Complaint,Negative,0.9,Loans,Payment delay,Medium,59,FALSE,Credit Card,Payment mismatch,Respond customer,FALSE,01-04-2026 00:12
P085,UPI service completely down today,Complaint,English,Complaint,Negative,0.95,Payments,UPI outage,High,91,FALSE,UPI,Service outage,Escalate operations,TRUE,01-04-2026 08:34
P086,Customer care resolved issue very quickly,Feedback,English,Praise,Positive,0.87,Customer Service,Fast resolution,Low,7,FALSE,,Positive service feedback,Monitor only,FALSE,01-04-2026 21:47
P087,Someone tried to reset my password without consent,Fraud,English,Fraud report,Negative,0.97,Fraud,Password reset fraud,Critical,98,TRUE,Net Banking,Account security threat,Escalate fraud team,TRUE,12-04-2026 13:05
P088,Loan approval process is acceptable but slow,Feedback,English,Feedback,Neutral,0.76,Loans,Loan processing,Medium,43,FALSE,Loan,Neutral loan feedback,Monitor,FALSE,02-04-2026 02:15
P089,ATM withdrew money but cash was not dispensed,Complaint,English,Complaint,Negative,0.94,Payments,ATM failure,High,87,FALSE,ATM,ATM cash issue,Escalate operations,TRUE,02-04-2026 09:22
P090,App crashes during every UPI transaction,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash,High,84,FALSE,Mobile App,App instability,Escalate ops,TRUE,02-04-2026 09:58
P091,"Received instant cashback on purchase, very happy",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive offer feedback,Monitor only,FALSE,02-04-2026 18:36
P092,Fake call asking for CVV details immediately,Fraud,English,Fraud report,Negative,0.96,Fraud,CVV scam call,Critical,95,TRUE,Credit Card,Sensitive data scam,Escalate fraud team,TRUE,12-04-2026 13:05
P093,Branch staff was polite and very helpful,Feedback,English,Praise,Positive,0.86,Customer Service,Branch experience,Low,7,FALSE,Branch Service,Good branch feedback,Monitor only,FALSE,03-04-2026 05:11
P094,Transaction failed but money deducted from account,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction debit,High,88,FALSE,UPI,Transaction issue,Escalate operations,TRUE,03-04-2026 11:49
P095,Loan interest is fine but processing delay is frustrating,Feedback,English,Feedback,Neutral,0.75,Loans,Loan delay,Medium,45,FALSE,Loan,Processing delay feedback,Monitor,FALSE,03-04-2026 23:05
P096,Suspicious email asking to verify bank account details,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,94,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,10-04-2026 19:35
P097,Net banking interface is not very user friendly,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI feedback,Medium,40,FALSE,Net Banking,UX feedback,Monitor,FALSE,04-04-2026 07:28
P098,UPI transfer failed but amount was debited,Complaint,English,Complaint,Negative,0.94,Payments,UPI failure debit,High,87,FALSE,UPI,Transfer issue,Escalate operations,TRUE,04-04-2026 14:16
P099,Festive offers are really good this year,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,04-04-2026 14:45
P100,Account suddenly blocked without warning or explanation,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,92,TRUE,Bank Account,Unexpected account block,Escalate compliance team,TRUE,04-04-2026 22:33
P101,UPI transaction failed but money got deducted instantly,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit failure,High,86,FALSE,UPI,Debit without success,Escalate operations,TRUE,05-04-2026 10:08
P102,Received fake SMS asking to verify OTP urgently,Fraud,English,Fraud report,Negative,0.97,Fraud,OTP phishing SMS,Critical,97,TRUE,SMS Alerts,OTP scam detected,Escalate fraud team,TRUE,05-04-2026 03:19
P103,Mobile banking app works smoothly after update,Feedback,English,Praise,Positive,0.88,Digital Banking,App performance,Low,9,FALSE,Mobile App,Positive app experience,Monitor only,FALSE,05-04-2026 10:08
P104,Credit card payment not updated in statement,Complaint,English,Complaint,Negative,0.9,Loans,Billing issue,Medium,60,FALSE,Credit Card,Payment mismatch,Respond customer,FALSE,05-04-2026 19:57
P105,UPI service is down since morning in my area,Complaint,English,Complaint,Negative,0.95,Payments,UPI outage,High,91,FALSE,UPI,Service outage,Escalate operations,TRUE,03-04-2026 11:49
P106,Customer support resolved my issue quickly and politely,Feedback,English,Praise,Positive,0.87,Customer Service,Fast resolution,Low,7,FALSE,,Positive service experience,Monitor only,FALSE,06-04-2026 01:44
P107,Someone tried to reset my net banking password without permission,Fraud,English,Fraud report,Negative,0.97,Fraud,Password reset attempt,Critical,98,TRUE,Net Banking,Account security threat,Escalate fraud team,TRUE,06-04-2026 12:21
P108,Loan process is okay but approval takes too long,Feedback,English,Feedback,Neutral,0.76,Loans,Loan delay,Medium,44,FALSE,Loan,Neutral loan feedback,Monitor,FALSE,06-04-2026 12:59
P109,ATM withdrew money but cash was not dispensed,Complaint,English,Complaint,Negative,0.94,Payments,ATM cash failure,High,88,FALSE,ATM,ATM failure issue,Escalate operations,TRUE,06-04-2026 20:17
P110,App crashes while making UPI payments repeatedly,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash UPI,High,85,FALSE,Mobile App,App instability,Escalate ops,TRUE,02-04-2026 09:22
P111,"Got cashback instantly on purchase, very happy",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive reward experience,Monitor only,FALSE,07-04-2026 06:03
P112,Fake call asking for CVV details immediately,Fraud,English,Fraud report,Negative,0.96,Fraud,CVV scam call,Critical,95,TRUE,Credit Card,Sensitive data scam,Escalate fraud team,TRUE,07-04-2026 15:42
P113,Branch staff was very helpful and polite,Feedback,English,Praise,Positive,0.86,Customer Service,Branch experience,Low,7,FALSE,Branch Service,Good branch feedback,Monitor only,FALSE,07-04-2026 23:38
P114,Transaction failed but amount was deducted,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction debit,High,88,FALSE,UPI,Transaction issue,Escalate operations,TRUE,08-04-2026 04:27
P115,Loan interest is acceptable but processing is slow,Feedback,English,Feedback,Neutral,0.75,Loans,Loan processing delay,Medium,45,FALSE,Loan,Processing delay feedback,Monitor,FALSE,08-04-2026 04:27
P116,Suspicious email asking to verify bank account details,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,94,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,08-04-2026 13:55
P117,Net banking UI is confusing compared to other banks,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI comparison,Medium,41,FALSE,Net Banking,UX comparison feedback,Monitor,FALSE,08-04-2026 17:31
P118,UPI transfer failed but money got debited,Complaint,English,Complaint,Negative,0.94,Payments,UPI debit failure,High,87,FALSE,UPI,Transfer failure issue,Escalate operations,TRUE,09-04-2026 02:09
P119,Festive offers are really good this year,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,09-04-2026 02:09
P120,Account blocked suddenly without any explanation,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,92,TRUE,Bank Account,Unexpected account block,Escalate compliance team,TRUE,09-04-2026 11:26
P121,UPI payment failed but money deducted instantly,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit failure,High,86,FALSE,UPI,Debit without success,Escalate operations,TRUE,09-04-2026 21:14
P122,Received fake SMS asking for OTP verification immediately,Fraud,English,Fraud report,Negative,0.97,Fraud,OTP phishing SMS,Critical,97,TRUE,SMS Alerts,OTP scam detected,Escalate fraud team,TRUE,10-04-2026 09:05
P123,Mobile app is working much better after latest update,Feedback,English,Praise,Positive,0.88,Digital Banking,App improvement,Low,9,FALSE,Mobile App,Positive app feedback,Monitor only,FALSE,10-04-2026 09:12
P124,Credit card payment not reflecting in account statement,Complaint,English,Complaint,Negative,0.9,Loans,Payment delay,Medium,60,FALSE,Credit Card,Billing issue,Respond customer,FALSE,10-04-2026 09:18
P125,UPI service completely down in my area since morning,Complaint,English,Complaint,Negative,0.95,Payments,UPI outage,High,91,FALSE,UPI,Service outage,Escalate operations,TRUE,10-04-2026 09:25
P126,Customer care resolved my issue quickly and professionally,Feedback,English,Praise,Positive,0.87,Customer Service,Fast resolution,Low,7,FALSE,,Positive service experience,Monitor only,FALSE,10-04-2026 09:41
P127,Someone tried to reset my password without my permission,Fraud,English,Fraud report,Negative,0.97,Fraud,Password reset attempt,Critical,98,TRUE,Net Banking,Security threat detected,Escalate fraud team,TRUE,10-04-2026 10:03
P128,Loan approval process is okay but slower than expected,Feedback,English,Feedback,Neutral,0.76,Loans,Loan processing delay,Medium,44,FALSE,Loan,Neutral feedback,Monitor,FALSE,10-04-2026 10:15
P129,ATM withdrew money but cash was not dispensed,Complaint,English,Complaint,Negative,0.94,Payments,ATM cash failure,High,88,FALSE,ATM,ATM failure issue,Escalate operations,TRUE,10-04-2026 10:22
P130,App keeps crashing during UPI transactions repeatedly,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash UPI,High,85,FALSE,Mobile App,App instability,Escalate ops,TRUE,10-04-2026 10:37
P131,"Got cashback instantly, very smooth experience",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive offer feedback,Monitor only,FALSE,10-04-2026 11:08
P132,Fake call asking for CVV number immediately,Fraud,English,Fraud report,Negative,0.96,Fraud,CVV scam call,Critical,95,TRUE,Credit Card,Sensitive data scam,Escalate fraud team,TRUE,10-04-2026 11:19
P133,Branch staff was very polite and helpful,Feedback,English,Praise,Positive,0.86,Customer Service,Branch experience,Low,7,FALSE,Branch Service,Good branch feedback,Monitor only,FALSE,10-04-2026 11:27
P134,Transaction failed but money got deducted from account,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction debit,High,88,FALSE,UPI,Transaction issue,Escalate operations,TRUE,10-04-2026 12:02
P135,Loan interest is fine but processing takes too long,Feedback,English,Feedback,Neutral,0.75,Loans,Loan processing delay,Medium,45,FALSE,Loan,Processing delay feedback,Monitor,FALSE,10-04-2026 12:16
P136,Suspicious email asking to verify bank account details urgently,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,94,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,10-04-2026 12:45
P137,Net banking interface is confusing compared to competitors,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI comparison,Medium,41,FALSE,Net Banking,UX feedback,Monitor,FALSE,10-04-2026 13:05
P138,UPI transfer failed but money was deducted,Complaint,English,Complaint,Negative,0.94,Payments,UPI debit failure,High,87,FALSE,UPI,Transfer failure issue,Escalate operations,TRUE,10-04-2026 13:18
P139,Festive offers are really attractive this year,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,10-04-2026 13:39
P140,Account suddenly blocked without any explanation,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,92,TRUE,Bank Account,Unexpected account block,Escalate compliance team,TRUE,10-04-2026 14:07
P141,UPI payment failed but money was debited instantly,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit failure,High,86,FALSE,UPI,Debit without success,Escalate operations,TRUE,10-04-2026 14:28
P142,Received fake SMS asking to update KYC via urgent link,Fraud,English,Fraud report,Negative,0.97,Fraud,KYC phishing SMS,Critical,98,TRUE,KYC,Phishing attempt detected,Escalate fraud team,TRUE,11-04-2026 15:11
P143,Mobile banking app feels faster and more stable now,Feedback,English,Praise,Positive,0.88,Digital Banking,App performance,Low,9,FALSE,Mobile App,Positive performance feedback,Monitor only,FALSE,11-04-2026 15:49
